ID_LEXEMA 	LiNEA 	COLUMNA 	TOKEN                	LEXEMA
18        	46    	6       	ASSIGN               	<-
46        	46    	9       	INT_LIT              	20
12        	46    	11      	EXCLAMATION          	!
40        	47    	5       	SWITCH               	switch
2         	47    	11      	SEPARATOR            	~
4         	47    	12      	LPAR                 	<|
26        	47    	14      	ID                   	a
8         	47    	15      	RPAR                 	|>
9         	47    	17      	LBLOCK               	|:
41        	48    	9       	CASE                 	case
2         	48    	13      	SEPARATOR            	~
42        	48    	14      	INT_LIT              	15
43        	48    	16      	COLON                	:
27        	49    	13      	ID                   	b
18        	49    	14      	ASSIGN               	<-
19        	49    	17      	INT_LIT              	1
12        	49    	18      	EXCLAMATION          	!
41        	50    	9       	CASE                 	case
2         	50    	13      	SEPARATOR            	~
46        	50    	14      	INT_LIT              	20
43        	50    	16      	COLON                	:
27        	51    	13      	ID                   	b
18        	51    	14      	ASSIGN               	<-
50        	51    	17      	INT_LIT              	2
12        	51    	18      	EXCLAMATION          	!
39        	52    	13      	COUT                 	cout
2         	52    	17      	SEPARATOR            	~
4         	52    	18      	LPAR                 	<|
27        	52    	20      	ID                   	b
8         	52    	21      	RPAR                 	|>
12        	52    	23      	EXCLAMATION          	!
48        	53    	9       	DEFAULT              	default
43        	53    	16      	COLON                	:
27        	54    	13      	ID                   	b
18        	54    	14      	ASSIGN               	<-
51        	54    	17      	INT_LIT              	9
12        	54    	18      	EXCLAMATION          	!
13        	55    	5       	RBLOCK               	:|
39        	56    	5       	COUT                 	cout
2         	56    	9       	SEPARATOR            	~
4         	56    	10      	LPAR                 	<|
27        	56    	12      	ID                   	b
8         	56    	13      	RPAR                 	|>
12        	56    	15      	EXCLAMATION          	!
26        	59    	5       	ID                   	a
18        	59    	6       	ASSIGN               	<-
52        	59    	9       	INT_LIT              	999
12        	59    	12      	EXCLAMATION          	!
40        	60    	5       	SWITCH               	switch
2         	60    	11      	SEPARATOR            	~
4         	60    	12      	LPAR                 	<|
26        	60    	14      	ID                   	a
8         	60    	15      	RPAR                 	|>
9         	60    	17      	LBLOCK               	|:
41        	61    	9       	CASE                 	case
2         	61    	13      	SEPARATOR            	~
42        	61    	14      	INT_LIT              	15
43        	61    	16      	COLON                	:
27        	62    	13      	ID                   	b
18        	62    	14      	ASSIGN               	<-
19        	62    	17      	INT_LIT              	1
12        	62    	18      	EXCLAMATION          	!
45        	63    	13      	BREAK                	break
12        	63    	18      	EXCLAMATION          	!
41        	64    	9       	CASE                 	case
2         	64    	13      	SEPARATOR            	~
46        	64    	14      	INT_LIT              	20
43        	64    	16      	COLON                	:
27        	65    	13      	ID                   	b
18        	65    	14      	ASSIGN               	<-
50        	65    	17      	INT_LIT              	2
12        	65    	18      	EXCLAMATION          	!
45        	66    	13      	BREAK                	break
12        	66    	18      	EXCLAMATION          	!
48        	67    	9       	DEFAULT              	default
43        	67    	16      	COLON                	:
27        	68    	13      	ID                   	b
18        	68    	14      	ASSIGN               	<-
53        	68    	17      	INT_LIT              	777
12        	68    	20      	EXCLAMATION          	!
13        	69    	5       	RBLOCK               	:|
39        	70    	5       	COUT                 	cout
2         	70    	9       	SEPARATOR            	~
4         	70    	10      	LPAR                 	<|
27        	70    	12      	ID                   	b
8         	70    	13      	RPAR                 	|>
12        	70    	15      	EXCLAMATION          	!
54        	73    	5       	IF                   	if
2         	73    	7       	SEPARATOR            	~
4         	73    	8       	LPAR                 	<|
55        	73    	10      	GREATHER_T           	greather_t
